"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_138",147220000,1940430000,6010000,142490000,263850000,2.5e+09,36,28,73,137,142120000,1847340000,25440000,247590000,237510000,2.5e+09,24,19,68,111,-12,-9,-5
"1_139",770250000,1411350000,14550000,56760000,247090000,2.5e+09,35,26,62,123,977820000,1298490000,47690000,69670000,106330000,2.5e+09,25,19,67,111,-10,-7,5
"1_140",383340000,1412210000,29560000,371230000,303660000,2.5e+09,38,29,76,143,434690000,1393530000,62050000,415730000,1.94e+08,2.5e+09,27,18,71,116,-11,-11,-5
"1_141",46580000,2372500000,6310000,50410000,24200000,2.5e+09,34,28,57,119,55150000,2375850000,17830000,26020000,25150000,2.5e+09,21,17,61,99,-13,-11,4
"1_142",103080000,2300680000,14140000,2.5e+07,57100000,2.5e+09,32,29,68,129,133050000,2230510000,41790000,30940000,63710000,2.5e+09,20,16,67,103,-12,-13,-1
"1_143",119490000,2226540000,18080000,18330000,117560000,2.5e+09,36,30,71,137,143210000,2192690000,41730000,30480000,91890000,2.5e+09,18,21,70,109,-18,-9,-1
"1_144",256750000,1871490000,59540000,50550000,261670000,2.5e+09,34,28,72,134,383530000,1736940000,112600000,89790000,177140000,2.5e+09,24,18,66,108,-10,-10,-6
"1_145",1131830000,125560000,1570000,223300000,1017740000,2.5e+09,30,33,62,125,839510000,96120000,4320000,200740000,1359310000,2.5e+09,18,13,60,91,-12,-20,-2
"1_146",849210000,1068750000,5420000,143310000,433310000,2.5e+09,36,35,70,141,956870000,975960000,14180000,205340000,347650000,2.5e+09,22,18,68,108,-14,-17,-2
"1_147",982080000,73350000,3720000,323650000,1117200000,2.5e+09,31,34,66,131,820760000,115610000,3220000,437800000,1122610000,2.5e+09,21,14,56,91,-10,-20,-10
"1_148",585080000,1475130000,6070000,122600000,311120000,2.5e+09,36,34,75,145,696900000,1343060000,14700000,206460000,238880000,2.5e+09,21,17,72,110,-15,-17,-3
"1_149",294280000,141930000,7420000,222250000,1573920000,2239800000,28,23,49,100,280640000,283700000,16870000,67010000,1591580000,2239800000,14,9,57,80,-14,-14,8
