"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36VXJ4",NA,NA,148,148,NA,4,1,159,22,21,155,1.28631341547677
"36VXK1",NA,NA,155,155,NA,NA,NA,51,14,NA,NA,1.32759311860879
"36VXK2",NA,NA,115,115,NA,1,1,16,7,6,15,1.30494996649108
"36VXK3",NA,NA,113,113,NA,NA,NA,1,1,NA,NA,1.33147095692785
"36VXK4",NA,NA,113,113,NA,7,1,5,3,2,-2,1.29838703890316
"36VXL1",NA,NA,3,3,NA,NA,NA,5,3,NA,NA,1.35822782342292
"36VXL2",NA,NA,77,77,NA,NA,NA,NA,NA,NA,NA,1.350563993538
"36VXL3",NA,NA,89,89,NA,NA,NA,NA,NA,NA,NA,1.32116379299942
"36VXL4",NA,NA,78,78,NA,NA,NA,1,1,NA,NA,1.31271867653758
"36VXM1",1,1,2,2,1,NA,NA,NA,NA,NA,NA,1.38077262749055
"36VXM2",NA,NA,83,83,NA,NA,NA,NA,NA,NA,NA,1.35226545928004
"36VXN1",2,2,149,149,147,1,1,7,2,1,6,1.44478447355073
"36VXN2",2,2,110,110,108,NA,NA,1,1,NA,NA,1.41708270682663
"36VXP1",1,1,146,146,145,NA,NA,9,3,NA,NA,1.4622096242805
"36VXP2",1,1,61,61,60,NA,NA,7,2,NA,NA,1.44796917313024
"36VXQ1",1,1,73,73,72,NA,NA,4,2,NA,NA,1.51143938932779
"36VXQ2",1,1,136,136,135,NA,NA,20,3,NA,NA,1.47978355033057
"36VXR1",1,1,116,116,115,NA,NA,NA,NA,NA,NA,1.52911297918305
"36VXR2",1,1,57,57,56,NA,NA,NA,NA,NA,NA,1.53408336496923
"36WUS3",1,1,122,122,121,31,8,17,5,-3,-14,1.49896475104457
"36WUS4",119,119,118,118,-1,176,14,166,14,0,-10,1.48788948717617
"36WUT3",1,1,88,88,87,NA,NA,2,1,NA,NA,1.45653409400472
"36WUT4",1,1,83,83,82,23,6,5,1,-5,-18,1.48682133639576
"36WUU3",1,1,69,69,68,NA,NA,NA,NA,NA,NA,1.39248705657208
"36WUU4",1,1,98,98,97,NA,NA,9,7,NA,NA,1.43793470769056
"36WUV4",1,1,57,57,56,1,1,1,1,0,0,1.33844696961636
"36WVA1",NA,NA,107,107,NA,NA,NA,NA,NA,NA,NA,1.22509086043559
"36WVA2",1,1,114,114,113,1,1,NA,NA,NA,NA,1.26741913832749
"36WVA3",NA,NA,111,111,NA,1,1,NA,NA,NA,NA,1.3211165029438
"36WVA4",2,2,112,112,110,63,3,22,10,7,-41,1.36301104588497
"36WVB1",NA,NA,21,21,NA,NA,NA,1,1,NA,NA,1.17624153475157
"36WVB2",NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,1.20823108363737
"36WVB3",2,2,63,63,61,NA,NA,NA,NA,NA,NA,1.24085187569846
"36WVB4",NA,NA,82,82,NA,NA,NA,NA,NA,NA,NA,1.26527198594326
"36WVC1",74,74,89,89,15,64,11,163,13,2,99,1.14380247747324
"36WVC2",6,6,121,121,115,1466,23,433,20,-3,-1033,1.15843752493416
"36WVC4",1,1,94,94,93,22,5,25,5,0,3,1.21496087665621
"36WVD2",60,60,104,104,44,79,12,266,17,5,187,1.14928350036582
"36WVS1",1,1,68,68,67,NA,NA,1,1,NA,NA,1.53671789051389
"36WVS2",1,1,61,61,60,NA,NA,1,1,NA,NA,1.50734762147521
"36WVS3",1,1,42,42,41,NA,NA,NA,NA,NA,NA,1.54771487214349
"36WVS4",1,1,72,72,71,2,2,1,1,-1,-1,1.52703181600571
